prompt,Document1StepMutator,Document2StepMutator,DocumentMutator,EntropyWordMutator,SentenceMutator,SpanMutator,WordMutator
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, addressing protests outside the summit calling for stronger climate justice measures, covering a controversial speech by a major oil industry representative, and analyzing the summit's key outcomes and challenges:",0.88750976,0.9450636,0.9087689,0.9756058,0.84751695,0.8333967,0.8527133
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, and addressing protests outside the summit calling for stronger climate justice measures:",0.8944044,0.9257622,0.9786832,0.97245646,0.8610347,0.8574889,0.87184346
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China:",0.8652101,0.9634622,0.8722027,0.97220635,0.82092035,0.8475084,0.85260224
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets:",0.83997315,0.9123626,0.9217188,0.9708686,0.8368124,0.82348675,0.8403194
Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change:,0.83890647,0.92437726,0.85671043,0.96469355,0.80675673,0.81617004,0.8361224
Write a 500-word news article about a global climate summit:,0.7483404,0.9188892,0.8990552,0.97320217,0.6829413,0.70508796,0.70705414
Write a 500-word news article:,0.62728137,0.95360535,0.8828406,0.9605169,0.5122721,0.480937,0.51148015
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's 'Impression, Sunrise' and the Hotel de Sully's architecture, leading to walks along the Seine. Their connection deepens amid shared laughter and explorations of Le Marais. As the festival lights dance on the river, Evan shares his feelings with Emilie under the starlit sky, promising to cherish the moments they've shared:",0.7804303,0.9178159,0.86122257,0.95966226,0.84768444,0.81468654,0.8046008
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's 'Impression, Sunrise' and the Hotel de Sully's architecture, leading to walks along the Seine. Their connection deepens amid shared laughter and explorations of Le Marais:",0.79657644,0.9381816,0.93979526,0.9554429,0.82546306,0.7731265,0.81808937
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's 'Impression, Sunrise' and the Hotel de Sully's architecture, leading to walks along the Seine:",0.82381445,0.9392317,0.8284204,0.95371073,0.80692506,0.76945615,0.8136866
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's art and the city's architecture, leading to walks along the Seine:",0.7175955,0.9354922,0.79798484,0.9711988,0.7574337,0.7579231,0.783581
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for art and architecture, leading to walks along the Seine:",0.7097632,0.9486738,0.77157617,0.88538915,0.7628423,0.7883885,0.7686968
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris:",0.7546823,0.94591975,0.7813909,0.944036,0.7911717,0.76289105,0.80921066
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, in Paris:",0.7226165,0.9559414,0.7989045,0.90617496,0.7911141,0.77417237,0.81685
"Write a 500-word story about Evan, who falls for Emilie in Paris:",0.7431883,0.9127156,0.7870363,0.8742007,0.36216232,0.7825916,0.6211424
Write a 500-word story that takes place in Paris:,0.63813996,0.9131875,0.70201916,0.95119643,0.34649548,0.6153413,0.5727108
Write a 500-word story:,0.63975924,0.8764806,0.7462043,0.9095487,0.5294051,0.6381571,0.66960853
